video_id,title,description,upload_date,duration,view_count,thumbnail,watch_url,embed_url
PKhnL-gRH4g,"Butchering ""I Just Don't Give A F＊ck"" by Eminem BRAINROT",,,86.0,10,https://i.ytimg.com/vi/PKhnL-gRH4g/hqdefault.jpg,https://www.youtube.com/watch?v=PKhnL-gRH4g,https://www.youtube.com/embed/PKhnL-gRH4g
M7jEyAMIJnU,"Man Attempts Majestic Dive, Accidentally Invents New Swimming Style",,,32.0,4,https://i.ytimg.com/vi/M7jEyAMIJnU/hqdefault.jpg,https://www.youtube.com/watch?v=M7jEyAMIJnU,https://www.youtube.com/embed/M7jEyAMIJnU
Lz5hyJ7u2Mg,"One Uneventful Run of Tithe Farm… OSRS, Mobile Edition, Pain Edition",,,285.0,2,https://i.ytimg.com/vi/Lz5hyJ7u2Mg/hqdefault.jpg,https://www.youtube.com/watch?v=Lz5hyJ7u2Mg,https://www.youtube.com/embed/Lz5hyJ7u2Mg
D6zF5Rj45JU,If you want to break free you've got to learn how to see in your fantasy,,,88.0,3,https://i.ytimg.com/vi/D6zF5Rj45JU/hqdefault.jpg,https://www.youtube.com/watch?v=D6zF5Rj45JU,https://www.youtube.com/embed/D6zF5Rj45JU
BULXD0PHZ3E,Family of Deer in the Snow… Only in MUSKOKA,,,104.0,93,https://i.ytimg.com/vi/BULXD0PHZ3E/hqdefault.jpg,https://www.youtube.com/watch?v=BULXD0PHZ3E,https://www.youtube.com/embed/BULXD0PHZ3E
9lsyodwHlMg,My First Jad Kill Was SCUFFED OSRS Fire Cape Panic Edition,,,193.0,2,https://i.ytimg.com/vi/9lsyodwHlMg/hqdefault.jpg,https://www.youtube.com/watch?v=9lsyodwHlMg,https://www.youtube.com/embed/9lsyodwHlMg
6iNe6c-pDB4,Getting HDMI on an OLD CRT = DONGLE HELL DIY Cursed Tech,,,39.0,3,https://i.ytimg.com/vi/6iNe6c-pDB4/hqdefault.jpg,https://www.youtube.com/watch?v=6iNe6c-pDB4,https://www.youtube.com/embed/6iNe6c-pDB4
1jdjGWiSPds,Runelite FIRST PERSON PLUGIN OSRS WARNING: CURSED,,,73.0,57,https://i.ytimg.com/vi/1jdjGWiSPds/hqdefault.jpg,https://www.youtube.com/watch?v=1jdjGWiSPds,https://www.youtube.com/embed/1jdjGWiSPds
06isRL2YxEI,Public Enemy #1 by Eminem ACAPELLA COVER / from memory,,,101.0,1,https://i.ytimg.com/vi/06isRL2YxEI/hqdefault.jpg,https://www.youtube.com/watch?v=06isRL2YxEI,https://www.youtube.com/embed/06isRL2YxEI
6KC8ZmYN-Dg,Random Walk Into THE WOODS Low Stakes Nature VLOG,,,112.0,1,https://i.ytimg.com/vi/6KC8ZmYN-Dg/hqdefault.jpg,https://www.youtube.com/watch?v=6KC8ZmYN-Dg,https://www.youtube.com/embed/6KC8ZmYN-Dg
